Common Uses,SKU,description,name,title,Material,"Because of the infinite color, thickness & construction combinations, contact a Product Specialist to request your Nuway® sample.",CleanZone™,Warranty,Format,Size,Max Panel Size,Panel Thickness,Construction,Blade Spacing,Installation,Style,Thickness,Application Settings,Order Notes,Roll Sizes,Backing,Tile Size,Tile Thickness,Case Pack,Weight,Recommended Installation,Roll Size,Top Layer Thickness,Total Thickness,Tile Weight,Standard Thickness,Additional Thicknesses,Standard Weight,Common Uses:,Application,Pile Material,Sizes
,NUXSPEC,"Dual-strip design scrapes off debris and absorbs moisture
Reversible design doubles life span
Withstands heavy foot traffic and wheeled loads
Numerous design and color options
Anti-slip surface; ADA Compliant
Specific configurations available for Zone 1

Because of the infinite color, thickness & construction combinations, contact a Product Specialist to request your Nuway® sample.",Nuway®,Mats Inc | Nuway® | Foot Grilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Entryways in office buildings, retail stores, malls, hospitals, schools, ski resorts, sporting facilities, transportation buildings, hotels.
",PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,," Zone 2: Vestibule
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,," 10 Year Limited
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,"Heavy gauge 6061-T6 aluminum with 64% pre-consumer and 16% post consumer recycled content, mill finish
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,"Foot Grille
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,"Custom made to your requirements. Consult our Product Specialist at 800-MATS-INC for assistance.
",,,,,,,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,," 
 48"" (front to back) x 42"" (left to right)
Multiple panels are used to construct the foot grille system.
",,,,,,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,," 
1""
",,,,,,,,,,,,,,,,,,,,,,,,,
,PXRT,"Exclusive, cross bolt technology outlasts traditional welded key-lock construction
Anti-slip surface for indoor and outdoor applications; ADA Compliant
Maintenance-free surface looks brand new for years
Custom shapes available
Frames come pre-assembled
Drain pan option available
Unique ""T"" blade design prevents debris from lodging within the grille",Array Track,Mats Inc | Array Track | Foot Grilles,,,,,,,,,Cross cut rectangular surface with bolted cross supports.,,,,,,,,,,,,,,,,,,,,,,,,
