sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
YYWTRGY,,Migration_Matting,simple,,base,Tough Rib | Gray,,Not sampled individually.,0,1,0,Not Visible Individually,0,,,,tough-rib-gray,Tough Rib | Gray,,,/t/o/tough-rib-grey.jpg,,/t/o/tough-rib-grey.jpg,,/t/o/tough-rib-grey.jpg,,,,"4/27/16, 5:48 PM","1/9/19, 9:13 PM",,,Product Info Column,,,,No,,,,,,,4,,"color=Gray,is_recurring=No,matsinc_color_palettes=Gray,matsinc_product_statuses=Non-Stock,matsinc_sample_design=n/a,matsinc_sample_size=n/a,matsinc_sample_sku=YYWTRGY,matsinc_sample_thickness=n/a,matsinc_sample_type=n/a,salesforce_pricebookentry_id=01u3i000000oORYAA2,salesforce_product_id=01t3i000000dKorAAE,url_path=tough-rib-gray",33,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,,,,,,,/t/o/tough-rib-grey.jpg,,,,,,,,,,,,,,
YYWTRRD,,Migration_Matting,simple,,base,Tough Rib | Red,,Not sampled individually.,0,1,0,Not Visible Individually,0,,,,tough-rib-red,Tough Rib | Red,,,/t/o/tough-rib-red.jpg,,/t/o/tough-rib-red.jpg,,/t/o/tough-rib-red.jpg,,,,"4/27/16, 5:48 PM","1/11/19, 7:43 PM",,,Product Info Column,,,,No,,,,,,,4,,"color=Red,is_recurring=No,matsinc_color_palettes=Red,matsinc_product_statuses=Non-Stock,matsinc_sample_design=n/a,matsinc_sample_size=n/a,matsinc_sample_sku=YYWTRRD,matsinc_sample_thickness=n/a,matsinc_sample_type=n/a,salesforce_pricebookentry_id=01u3i000000oORZAA2,salesforce_product_id=01t3i000000dKosAAE,url_path=tough-rib-red",33,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,,,,,,,/t/o/tough-rib-red.jpg,,,,,,,,,,,,,,
YYSINGLPXATNY6LG,,Migration_Entrance Grilles and Grids,simple,,base,(New York) Light Gray,,(New York) Light Gray,0,1,0,Not Visible Individually,0,,,,new-york-light-gray,(New York) Light Gray,,,/s/m/small_0001_advanced-track-ny-light-grey.jpg,(New York) Light Gray,/s/m/small_0001_advanced-track-ny-light-grey.jpg,(New York) Light Gray,/s/m/small_0001_advanced-track-ny-light-grey.jpg,(New York) Light Gray,,,"10/18/16, 3:04 PM","1/14/19, 1:20 PM",,,Product Info Column,,,,,,,,,,,In Cart,,"color=(New York) Light Gray,is_recurring=No,matsinc_color_palettes=Gray,matsinc_product_statuses=Non-Stock,matsinc_sample_design=Aluminum - Carpet Insert,matsinc_sample_size=4 x 6 in,matsinc_sample_sku=YYSINGLPXATNY6LG,matsinc_sample_thickness=n/a,matsinc_sample_type=Single,salesforce_pricebookentry_id=01u3i000000oORaAAM,salesforce_product_id=01t3i000000dKotAAE,url_path=new-york-light-gray",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/s/m/small_0001_advanced-track-ny-light-grey.jpg,(New York) Light Gray,/s/m/small_0001_advanced-track-ny-light-grey.jpg,,,,,,,,,,,,
YYSINGLPXATNY6BL,,Migration_Entrance Grilles and Grids,simple,,base,(New York) Blue,,(New York) Blue,0,1,0,Not Visible Individually,0,,,,new-york-blue,(New York) Blue,,,/s/m/small_0008_advanced-track-ny-blue.jpg,(New York) Blue,/s/m/small_0008_advanced-track-ny-blue.jpg,(New York) Blue,/s/m/small_0008_advanced-track-ny-blue.jpg,(New York) Blue,,,"10/18/16, 6:47 PM","6/17/19, 12:54 PM",,,Product Info Column,,,,,,,,,,,4,,"color=(New York) Blue,is_recurring=No,matsinc_color_palettes=Blue,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=Aluminum - Carpet Insert,matsinc_sample_size=4 x 6 in,matsinc_sample_sku=YYSINGLPXATNY6BL,matsinc_sample_thickness=n/a,matsinc_sample_type=Single,salesforce_pricebookentry_id=01u3i000000oORbAAM,salesforce_product_id=01t3i000000dKouAAE,url_path=new-york-blue",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/s/m/small_0008_advanced-track-ny-blue.jpg,(New York) Blue,/s/m/small_0008_advanced-track-ny-blue.jpg,,,,,,,,,,,,
YYSINGLPXATNY6BR,,Migration_Entrance Grilles and Grids,simple,,base,(New York) Brown,,(New York) Brown,0,1,0,Not Visible Individually,0,,,,new-york-brown,(New York) Brown,,,/s/m/small_0009_advanced-track-ny-brown.jpg,(New York) Brown,/s/m/small_0009_advanced-track-ny-brown.jpg,(New York) Brown,/s/m/small_0009_advanced-track-ny-brown.jpg,(New York) Brown,,,"10/18/16, 7:00 PM","1/14/19, 1:19 PM",,,Product Info Column,,,,,,,,,,,4,,"color=(New York) Brown,is_recurring=No,matsinc_color_palettes=Brown,matsinc_product_statuses=Non-Stock,matsinc_sample_design=Aluminum - Carpet Insert,matsinc_sample_size=4 x 6 in,matsinc_sample_sku=YYSINGLPXATNY6BR,matsinc_sample_thickness=n/a,matsinc_sample_type=Single,salesforce_pricebookentry_id=01u3i000000oORcAAM,salesforce_product_id=01t3i000000dKovAAE,url_path=new-york-brown",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/s/m/small_0009_advanced-track-ny-brown.jpg,(New York) Brown,/s/m/small_0009_advanced-track-ny-brown.jpg,,,,,,,,,,,,
YYSINGLPXDRINY6BS,,Migration_Entrance Grilles and Grids,simple,,base,(New York) Brown Sugar,,(New York) Brown Sugar,0,1,0,Not Visible Individually,0,,,,new-york-brown-sugar,,,,/s/m/small_0007_advanced-track-ny-brown-sugar.jpg,(New York) Brown Sugar,/s/m/small_0007_advanced-track-ny-brown-sugar.jpg,(New York) Brown Sugar,/s/m/small_0007_advanced-track-ny-brown-sugar.jpg,(New York) Brown Sugar,,,"10/18/16, 7:07 PM","1/14/19, 1:19 PM",,,Product Info Column,,,,,,,,,,,4,,"color=(New York) Brown Sugar,is_recurring=No,matsinc_color_palettes=Brown,matsinc_product_statuses=Non-Stock,matsinc_sample_design=Aluminum - Carpet Insert,matsinc_sample_size=4 x 6 in,matsinc_sample_sku=YYSINGLPXDRINY6BS,matsinc_sample_thickness=n/a,matsinc_sample_type=Single,salesforce_pricebookentry_id=01u3i000000oORdAAM,salesforce_product_id=01t3i000000dKowAAE,url_path=new-york-brown-sugar",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/s/m/small_0007_advanced-track-ny-brown-sugar.jpg,(New York) Brown Sugar,/s/m/small_0007_advanced-track-ny-brown-sugar.jpg,,,,,,,,,,,,
YYSINGLPXATNY6CL,,Migration_Entrance Grilles and Grids,simple,,base,(New York) Charcoal,,(New York) Charcoal,0,1,0,Not Visible Individually,0,,,,new-york-charcoal,(New York) Charcoal,,,/s/m/small_0006_advanced-track-ny-charcoal.jpg,Sma(New York) Charcoalll,/s/m/small_0006_advanced-track-ny-charcoal.jpg,Sma(New York) Charcoalll,/s/m/small_0006_advanced-track-ny-charcoal.jpg,Sma(New York) Charcoalll,,,"10/18/16, 7:12 PM","1/14/19, 1:19 PM",,,Product Info Column,,,,,,,,,,,4,,"color=(New York) Charcoal,is_recurring=No,matsinc_color_palettes=Black,matsinc_sample_design=Aluminum - Carpet Insert,matsinc_sample_size=4 x 6 in,matsinc_sample_sku=YYSINGLPXATNY6CL,matsinc_sample_thickness=n/a,matsinc_sample_type=Single,salesforce_pricebookentry_id=01u3i000000oOReAAM,salesforce_product_id=01t3i000000dKoxAAE,url_path=new-york-charcoal",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/s/m/small_0006_advanced-track-ny-charcoal.jpg,Sma(New York) Charcoalll,/s/m/small_0006_advanced-track-ny-charcoal.jpg,,,,,,,,,,,,
YYSINGLPXATNY6CS,,Migration_Entrance Grilles and Grids,simple,,base,(New York) Charcoal Splash,,(New York) Charcoal Splash,0,1,0,Not Visible Individually,0,,,,new-york-charcoal-splash,(New York) Charcoal Splash,,,/s/m/small_0005_advanced-track-ny-charcoal-splash.jpg,(New York) Charcoal Splash,/s/m/small_0005_advanced-track-ny-charcoal-splash.jpg,(New York) Charcoal Splash,/s/m/small_0005_advanced-track-ny-charcoal-splash.jpg,(New York) Charcoal Splash,,,"10/18/16, 7:15 PM","1/14/19, 1:20 PM",,,Product Info Column,,,,,,,,,,,4,,"color=(New York) Charcoal Splash,is_recurring=No,matsinc_color_palettes=Black,matsinc_sample_design=Aluminum - Carpet Insert,matsinc_sample_size=4 x 6 in,matsinc_sample_sku=YYSINGLPXATNY6CS,matsinc_sample_thickness=n/a,matsinc_sample_type=Single,salesforce_pricebookentry_id=01u3i000000oORfAAM,salesforce_product_id=01t3i000000dKoyAAE,url_path=new-york-charcoal-splash",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/s/m/small_0005_advanced-track-ny-charcoal-splash.jpg,(New York) Charcoal Splash,/s/m/small_0005_advanced-track-ny-charcoal-splash.jpg,,,,,,,,,,,,
YYSINGLPXATNY6CO,,Migration_Entrance Grilles and Grids,simple,,base,(New York) Cocoa,,(New York) Cocoa,0,1,0,Not Visible Individually,0,,,,new-york-cocoa,(New York) Cocoa,,,/s/m/small_0004_advanced-track-ny-cocoa.jpg,(New York) Cocoa,/s/m/small_0004_advanced-track-ny-cocoa.jpg,(New York) Cocoa,/s/m/small_0004_advanced-track-ny-cocoa.jpg,(New York) Cocoa,,,"10/18/16, 7:19 PM","6/17/19, 12:56 PM",,,Product Info Column,,,,,,,,,,,4,,"color=(New York) Cocoa,is_recurring=No,matsinc_color_palettes=Brown,matsinc_product_statuses=Limited Quantity,matsinc_sample_design=Aluminum - Carpet Insert,matsinc_sample_size=4 x 6 in,matsinc_sample_sku=YYSINGLPXATNY6CO,matsinc_sample_thickness=n/a,matsinc_sample_type=Single,salesforce_pricebookentry_id=01u3i000000oORgAAM,salesforce_product_id=01t3i000000dKozAAE,url_path=new-york-cocoa",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/s/m/small_0004_advanced-track-ny-cocoa.jpg,(New York) Cocoa,/s/m/small_0004_advanced-track-ny-cocoa.jpg,,,,,,,,,,,,
YYSINGLPXATNY6CB,,Migration_Entrance Grilles and Grids,simple,,base,(New York) Cocoa Butter,,(New York) Cocoa Butter,,1,0,Not Visible Individually,0,,,,new-york-cocoa-butter,(New York) Cocoa Butter,,,/s/m/small_0003_advanced-track-ny-cocoa-butter.jpg,(New York) Cocoa Butter,/s/m/small_0003_advanced-track-ny-cocoa-butter.jpg,(New York) Cocoa Butter,/s/m/small_0003_advanced-track-ny-cocoa-butter.jpg,(New York) Cocoa Butter,,,"10/18/16, 7:23 PM","1/14/19, 1:20 PM",,,Product Info Column,,,,,,,,,,,4,,"color=(New York) Cocoa Butter,is_recurring=No,matsinc_color_palettes=Brown,matsinc_product_statuses=Non-Stock,matsinc_sample_design=Aluminum - Carpet Insert,matsinc_sample_size=4 x 6 in,matsinc_sample_sku=YYSINGLPXATNY6CB,matsinc_sample_thickness=n/a,matsinc_sample_type=Single,salesforce_pricebookentry_id=01u3i000000oORhAAM,salesforce_product_id=01t3i000000dKp0AAE,url_path=new-york-cocoa-butter",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/s/m/small_0003_advanced-track-ny-cocoa-butter.jpg,(New York) Cocoa Butter,/s/m/small_0003_advanced-track-ny-cocoa-butter.jpg,,,,,,,,,,,,
